NEWJeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Notes,
103,CO-1420-0779,Bergen Valley ES,03_addition,New 3-story building,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,03_addition,New auditorium,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,03_addition,New gym and locker rooms,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,03_addition,New multipurpose room,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,03_addition,New cafeteria and kitchen,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Add shade structure(s),,1,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Campus landscaping upgrade,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Expand parking,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,"Front of school branding, landscape upgrades",,0.9,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Furniture upgrades,,0.225,,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Improve drop-off / pick-up zone,,0.575,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,New outdoor classroom,,1,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Playground replacement (ages 2-5),,0.75,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Playground replacement (ages 5-12),,0.75,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Resurface asphalt,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Resurface concrete,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Upgrade artificial turf field,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Modernize admin,,0.672222222,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Modernize classrooms,,0.71888312,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Modernize gym / assembly space,,0.40625,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Modernize kitchen,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Modernize cafeteria,,0.21875,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Modernize multipurpose room,,Does not apply,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Heavily modernize restrooms,,1,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Heavily modernize STEM / CTE / specialized labs (MS/HS),,Does not apply,,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Lightly modernize corridors,,1,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Lightly modernize entry lobby,,0.658333333,EA,,,,
103,CO-1420-0779,Bergen Valley ES,modernization,Lightly modernize library/media center,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Electrical,1,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Electrical,2,Deficiency Data Oct 25,EA,,63086.99,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Electrical,3,Deficiency Data Oct 25,EA,,111000,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Electrical,4,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Exterior,1,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Exterior,2,Deficiency Data Oct 25,EA,,4291.42,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Exterior,3,Deficiency Data Oct 25,EA,,9552.53,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Exterior,4,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Fire and Life Safety,1,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Fire and Life Safety,2,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Fire and Life Safety,3,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Fire and Life Safety,4,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Interior,1,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Interior,2,Deficiency Data Oct 25,EA,,13320,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Interior,3,Deficiency Data Oct 25,EA,,129037.5,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Interior,4,Deficiency Data Oct 25,EA,,135181.06,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,HVAC,1,Deficiency Data Oct 25,EA,,166500,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,HVAC,2,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,HVAC,3,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,HVAC,4,Deficiency Data Oct 25,EA,,111000,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Other,1,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Other,2,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Other,3,Deficiency Data Oct 25,EA,,2775,,
103,CO-1420-0779,Bergen Valley ES,08_site infrastructure,Other,4,Deficiency Data Oct 25,EA,,None,,
