UniqueID,Building Name,Status,Include_Flow_Chart,School Level,Capacity,Enrollment,Available Seats,Utilization,Future_EnrollmentGrowth,DistanceUnderutilizedschools,BuildingTreshhold,EducationalAdequacy,Below50PCTL_EA_Cat,DepartmentalDeficiency,SiteCapacity,Scorecard, SquareFt ,BuildingScore,RecentInvestments
CO-1420-6828,Peck Elementary,Closed,No,Elementary,432,0,432,0,,1.03,2.270833333,0.559392621,Yes,,No,3,"42,834",4,No
CO-1420-9058,Vanderhoof Elementary,Active,Yes,Elementary,490,403,87,0.82244898,0.066799575,0.54,1.55952381,0.681449355,Yes,,Yes,3,"44,082",1,No
CO-1420-2866,Fairmount Elementary,Active,Yes,Elementary,605,601,4,0.99338843,-0.000382824,0.16,1.791666667,0.59155451,Yes,,Yes,3,"65,146",1,Yes
CO-1420-4478,Sheridan Green Elementary,Closed,No,Elementary,0,0,0,0,,0.58,1.744047619,,,,No,4,"46,466",9,Yes
CO-1420-9342,Welchester Elementary,Active,Yes,Elementary,410,293,117,0.714634146,0.031141869,0.86,1.541666667,0.725733051,Yes,,Yes,3,"42,093",5,Yes
CO-1420-8432,Swanson Elementary,Active,Yes,Elementary,518,283,235,0.546332046,0.121794345,0.7,1.5625,0.699384645,Yes,,No,3,"54,462",1,No
CO-1420-3216,Fremont Elementary,Active,Yes,Elementary,360,268,92,0.744444444,0.011315012,1.23,1.678571429,0.545435414,Yes,,Yes,3,"45,920",2,Yes
CO-1420-6808,Patterson Elementary,Active,Yes,Elementary,410,346,64,0.843902439,-0.044776119,1.39,1.556547619,0.52860084,Yes,,Yes,3,"48,895",2,Yes
CO-1420-0965,Brady Exploration School,Active,Yes,Alternative,405,294,111,0.725925926,0.082969432,0.28,0.089285714,0.550080222,Yes,,No,3,"68,612",1,Yes
CO-1420-8090,Deane Elementary,Active,Yes,Elementary,482,341,141,0.70746888,0.046704223,0.71,2.306547619,0.622374225,Yes,,No,3,"46,118",1,Yes
CO-1420-2946,Fitzmorris Elementary,Closed,No,Elementary,454,0,454,0,,No Data,2.044642857,0.627177262,Yes,,No,3,"51,259",5,No
CO-1420-3624,Green Mountain Elementary,Closed,No,Elementary,324,0,324,0,,1.06,1.964285714,0.562241262,Yes,,Yes,3,"40,301",3,
CO-1420-4830,Kyffin Elementary,Active,Yes,Elementary,540,503,37,0.931481481,-0.077266424,0.79,1.916666667,0.678388113,Yes,,Yes,3,"49,472",4,
CO-1420-9678,Witt Elementary,Closed,No,Elementary,475,0,475,0,,1.4,1.523809524,0.578721411,Yes,,Yes,3,"44,341",2,
CO-1420-1861,Columbine Hills Elementary,Active,Yes,Elementary,432,315,117,0.729166667,-0.035598706,0.79,2.43452381,0.647849308,Yes,,No,3,"47,268",3,
CO-1420-2322,Dutch Creek Elementary,Active,Yes,Elementary,562,286,276,0.508896797,0.043478261,0.65,1.75297619,0.60633799,Yes,,Yes,5,"49,780",1,
CO-1420-4190,Hutchinson Elementary,Active,Yes,Elementary,475,328,147,0.690526316,0.289454169,0.99,2.157738095,0.642897718,Yes,,Yes,5,"44,976",2,
CO-1420-4549,Kendallvue Elementary,Active,Yes,Elementary,497,370,127,0.744466801,-0.002512563,0.12,1.87202381,0.709782983,Yes,,Yes,5,"45,418",3,
CO-1420-8300,Stott Elementary,Active,Yes,Elementary,432,288,144,0.666666667,0.051515152,0.35,1.94047619,0.678220039,Yes,,Yes,4,"45,525",3,
CO-1420-5892,Fletcher Miller Special Education School,Active,No,Alternative,109,97,12,0.889908257,#N/A,0.04,1.226190476,,No,,No,#N/A,"51,184",6,
CO-1420-9232,Warder Elementary,Active,Yes,Elementary,475,432,43,0.909473684,-0.046607702,,,0.683508811,Yes,,Yes,,"41,934",2,
CO-1420-9429,West Woods Elementary,Active,Yes,Elementary,648,542,106,0.836419753,-0.034220532,,,0.595120327,Yes,,Yes,,"53,379",2,
CO-1420-9638,Wilmore-Davis Elementary,Closed,No,Elementary,367,0,367,0,,,,0.563525952,Yes,,No,,"38,596",2,
CO-1420-3536,Governor's Ranch Elementary,Active,Yes,Elementary,497,458,39,0.921529175,-0.038409409,,,0.629077985,Yes,,Yes,,"46,907",3,
CO-1420-7833,Shelton Elementary,Active,Yes,Elementary,540,394,146,0.72962963,0.00729927,,,0.589731373,Yes,,Yes,,"53,530",4,
CO-1420-9008,Ute Meadows Elementary,Active,Yes,Elementary,540,374,166,0.692592593,-0.039865202,,,0.638046767,Yes,,No,,"46,266",3,
CO-1420-9510,Wheat Ridge High School,Active,Yes,High,1820,932,888,0.512087912,-0.024746907,,,,Yes,,Yes,,"211,311",1,
CO-1420-0030,Adams Elementary,Active,Yes,Elementary,497,310,187,0.623742455,0.060070339,,,0.657853597,Yes,,Yes,,"47,737",2,
CO-1420-5036,Leawood Elementary,Active,Yes,Elementary,518,321,197,0.61969112,-0.003211998,,,0.617077586,Yes,,No,,"48,383",4,
CO-1420-5524,Maple Grove Elementary,Active,Yes,Elementary,353,390,-37,1.104815864,0.049101935,,,0.641748621,Yes,,Yes,,"42,408",3,
CO-1420-9432,Dennison Elementary,Active,Yes,Option,648,575,73,0.887345679,0.018456376,,,0.615144017,Yes,,Yes,,"43,420",5,
CO-1420-9328,Weber Elementary,Active,Yes,Elementary,518,312,206,0.602316602,0.003701208,,,0.648314238,Yes,,No,,"51,052",3,
CO-1420-9412,Westgate Elementary,Active,Yes,Elementary,626,305,321,0.487220447,0.04375,,,0.598060243,Yes,,Yes,,"51,207",2,
CO-1420-0776,Bergen Meadow Primary School,Closed,No,Elementary,518,0,518,,,,,0.476186879,Yes,,Yes,,"50,555",2,
CO-1420-6286,Normandy Elementary,Active,Yes,Elementary,540,262,278,0.485185185,0.071428571,,,0.582433712,Yes,,No,,"55,702",2,
CO-1420-6470,Oberon Middle School,Active,Yes,Middle,756,704,52,0.931216931,-0.087087087,,,0.638420432,Yes,,Yes,,"90,839",4,
CO-1420-9245,Warren Tech North,Active,No,Option,524,0,524,0,,,,0.584691024,Yes,,Yes,,"34,593",2,
CO-1420-8280,Stony Creek Elementary,Active,Yes,Elementary,497,349,148,0.70221328,0.088643498,,,0.685341581,Yes,,No,,"45,230",4,
CO-1420-0109,Arvada K-8,Closed,No,Multi-Level,763,0,763,0,,,,,,,Yes,,"114,795",4,
CO-1420-0724,Belmar School of Integrated Arts,Active,Yes,Elementary,396,293,103,0.73989899,-0.017523754,,,0.608208039,Yes,,Yes,,"40,873",7,
CO-1420-3450,Glennon Heights Elementary,Closed,No,Elementary,302,0,302,0,,,,,,,No,,"34,702",9,
CO-1420-7708,Secrest Elementary,Active,Yes,Elementary,418,334,84,0.799043062,-0.017022135,,,0.639420452,Yes,,Yes,,"46,373",3,
CO-1420-8102,South Lakewood Elementary,Active,Yes,Elementary,497,393,104,0.790744467,-0.026853605,,,0.68211249,Yes,,Yes,,"51,794",4,
CO-1420-8209,Standley Lake High School,Active,Yes,High,1867,1123,744,0.601499732,-0.161260426,,,0.622955444,Yes,,No,,"193,706",3,
CO-1420-1876,Coronado Elementary,Active,Yes,Elementary,475,384,91,0.808421053,0.059895833,,,0.718956617,Yes,,Yes,,"46,544",5,
CO-1420-2550,Eiber Elementary,Active,Yes,Elementary,396,255,141,0.643939394,-0.067931585,,,0.625034132,Yes,,Yes,,"52,018",4,
CO-1420-3726,Hackberry Hill Elementary,Active,Yes,Elementary,432,430,2,0.99537037,0.042469686,,,0.660870017,Yes,,No,,"52,414",3,
CO-1420-7128,Powderhorn Elementary,Active,Yes,Elementary,569,522,47,0.917398946,0.073755378,,,0.636722179,Yes,,Yes,,"52,135",6,
CO-1420-5472,Manning School of Academics and Arts,Active,Yes,Option,655,685,-30,1.045801527,-0.002915452,,,0.690862242,Yes,,Yes,,"72,678",4,
CO-1420-0952,Bradford K8 North,Active,Yes,Multi-Level,410,350,60,0.853658537,-0.175373134,,,0.650458639,Yes,,No,,"46,070",6,
CO-1420-3025,Foothills Elementary,Active,Yes,Elementary,418,363,55,0.868421053,-0.112379771,,,0.612227715,Yes,,Yes,,"40,063",6,
CO-1420-5004,Lasley Elementary,Active,Yes,Elementary,691,576,115,0.83357453,-0.085702843,,,0.662898677,Yes,,Yes,,"66,927",8,
CO-1420-7753,Semper Elementary,Active,Yes,Elementary,518,314,204,0.606177606,0.037877748,,,0.647086921,Yes,,No,,"53,756",2,
CO-1420-9428,West Jefferson Middle School,Active,Yes,Middle,655,499,156,0.761832061,-0.005964215,,,0.648287913,Yes,,Yes,,"104,165",5,
CO-1420-9490,Westridge Elementary,Active,Yes,Elementary,497,400,97,0.804828974,-0.092149686,,,0.569948493,Yes,,Yes,,"47,105",6,
CO-1420-0148,Allendale Elementary,Closed,No,Elementary,324,0,324,0,,,,,,,No,,"40,646",5,
CO-1420-2496,Edgewater Elementary,Active,Yes,Elementary,497,335,162,0.674044266,-0.16537924,,,0.58102153,Yes,,Yes,,"45,204",4,
CO-1420-2616,Elk Creek Elementary,Active,Yes,Elementary,475,324,151,0.682105263,-0.031073446,,,0.712982289,Yes,,Yes,,"51,181",5,
CO-1420-2820,Everitt Middle School,Active,Yes,Middle,738,456,282,0.617886179,0.140659341,,,0.651839389,Yes,,No,,"103,698",6,
CO-1420-4548,Ken Caryl Middle School,Active,Yes,Middle,907,725,182,0.799338479,0.032904149,,,0.622761823,Yes,,Yes,,"101,389",5,
CO-1420-5024,Lawrence Elementary,Active,Yes,Elementary,367,412,-45,1.122615804,-0.015237432,,,0.730533091,Yes,,Yes,,"47,139",5,
CO-1420-6844,Peiffer Elementary,Closed,No,Elementary,475,0,475,0,,,,0.472687803,Yes,,No,,"44,016",3,
CO-1420-0951,Blue Heron Elementary,Active,Yes,Elementary,518,325,193,0.627413127,-0.023375139,,,0.610388308,Yes,,Yes,,"55,083",7,
CO-1420-6133,Mortensen Elementary,Active,Yes,Elementary,540,260,280,0.481481481,0.041190634,,,0.669288658,Yes,,Yes,,"52,158",5,
